p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,energy_storage_energy_capacity_mwh,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_vii
,20.44,581510,Non-Tier 1,Land Based Wind,Marble River,2226,,,,,Clinton,Completed,10,12923,NY,581510,215.25,2024-01-30T00:00:00.000,204.49,POINT (-73.9322061 44.9552406),,,,,2012,North Country,North,,,,,323696,,
,26,17232,Non-Tier 1,Biogas - LFG,Ontario,2226,,,,,Ontario,Completed,10,14561,NY,17232,6.4,2024-01-30T00:00:00.000,3,POINT (-77.135405 42.79881),,,,,2011,Finger Lakes,Central,,,,,,,
,20.89,279103,Non-Tier 1,Land Based Wind,Orangeville,2226,,,,,Wyoming,Operational,10,14569,NY,279103,92.8,2024-01-30T00:00:00.000,88.16,POINT (-78.1325852 42.740665),,,,,2014,Finger Lakes,Central,,,,,323706,,
,26,46664,Non-Tier 1,Biogas - LFG,Seneca,2226,,,,,Seneca,Completed,10,13165,NY,46664,12.8,2024-01-30T00:00:00.000,5.85,POINT (-76.8627782 42.9013852),,,,,2011,Finger Lakes,Central,,,,,,,
,26,20306,Non-Tier 1,Biogas - LFG,Modern,2226,,,,,Niagara,Completed,10,14174,NY,20306,6.4,2024-01-30T00:00:00.000,,POINT (-79.04468 43.250665),,,,,2011,Western New York,West,,,,,,,
,22,900,Non-Tier 1,Hydroelectric,Wave Hydro,2226,,,,,Onondaga,Cancelled,10,13027,NY,900,0.95,2024-01-30T00:00:00.000,0.33,POINT (-76.29835 43.18518),,,,,,Central New York,Central,,,,,,,
,28.5,9849,Non-Tier 1,Land Based Wind,Howard (Expansion),2389,,,,,Steuben,Completed,10,14823,NY,9849,4.1,2024-01-30T00:00:00.000,3.9,POINT (-77.605625 42.26788),,,,,2013,Southern Tier,Central,,,,,323690,,
,20.25,986,Non-Tier 1,Hydroelectric,Mill Street Dam,2389,,,,,Cayuga,Operational,10,13021,NY,986,0.22,2024-01-30T00:00:00.000,0.23,POINT (-76.56687 42.9355),,,,,2014,Central New York,Central,,,,,,,
,33,324045,Non-Tier 1,Biomass,Black River,2389,,,,,Jefferson,Operational,10,13602,NY,324045,43.26,2024-01-30T00:00:00.000,41.1,POINT (-75.768535 44.029755),,,,,2013,North Country,Mohawk Valley,,,,,23780,,
,24.99,6275,Non-Tier 1,Biogas - LFG,Clinton Co.,2389,,,,,Clinton,Completed,10,12962,NY,6275,6.4,2024-01-30T00:00:00.000,1.28,POINT (-73.5638682 44.6941568),,,,,2012,North Country,North,,,,,,,
,14.98,47402,Non-Tier 1,Biogas - LFG,Community Refuse LFG,2389,,,,,,Completed,10,17257,Pennsylvania,47402,6.4,2024-01-30T00:00:00.000,6.08,POINT (-77.519335 40.05105),,,,,2012,,,,,,,,,
,16.98,54093,Non-Tier 1,Land Based Wind,Locust Ridge,2389,,,,,,Completed,10,19087,Pennsylvania,54093,26,2024-01-30T00:00:00.000,24.7,POINT (-75.4612477 40.0743198),,,,,2012,,,,,,,PJM,,
,30,4750,Non-Tier 1,Biogas - ADG,Niagara BioEnergy,2554,New,,,,Niagara,Operational,10,14304,NY,4750,0.85,2024-01-30T00:00:00.000,0.81,POINT (-78.96109 43.090764),,,,,2019,Western New York,West,,,,,,,
,32.22,6325,Non-Tier 1,Fuel Cell,"401 Fieldcrest Dr. Elmsford, NY 10523",2554,,,,,Westchester,Operational,10,10523,NY,6325,0.8,2024-01-30T00:00:00.000,0.76,POINT (-73.817175 41.05446),,,,,2015,Mid-Hudson,Dunwoodie,,,,,,,
,29.95,1264,Non-Tier 1,Fuel Cell,ATT Clean Energy Project - Rego Park,2554,,,,,Queens,Operational,10,11374,NY,1264,0.2,2024-01-30T00:00:00.000,0.19,POINT (-73.8626827 40.7270469),,,,,2015,New York City,New York City,,,,,,,
,24,3847,Non-Tier 1,Land Based Wind,Henkel US Operations Corp - Geneva Facility,2554,,,,,Ontario,Operational,10,14456,NY,3847,3.3,2024-01-30T00:00:00.000,3.14,POINT (-76.983615 42.87351),,,,,2013,Finger Lakes,Central,,,,,,,
,37,6359,Non-Tier 1,Land Based Wind,Howard*,2554,,,,,Steuben,Operational,10,14823,NY,6359,,2024-01-30T00:00:00.000,2.55,POINT (-77.605625 42.26788),,,,,2013,Southern Tier,Central,,,,,323690,,
,30,1606,Non-Tier 1,Fuel Cell,Stop and Shop Clean Energy Project - Mt. Vernon,2554,,,,,Westchester,Operational,10,10550,NY,1606,0.26,2024-01-30T00:00:00.000,0.25,POINT (-73.837705 40.91064),,,,,2015,Mid-Hudson,Dunwoodie,,,,,,,
,39.95,40894,Non-Tier 1,Land Based Wind,Black Oak,2554,New,,,,Tompkins,Cancelled,10,14867,NY,40894,12.6,2024-01-30T00:00:00.000,11.97,POINT (-76.55499 42.38683),,,,,,Southern Tier,Central,,,,,,,
,33,27463,Non-Tier 1,Land Based Wind,Cody Road,2554,New,,,,Madison,Cancelled,10,13035,NY,27463,10,2024-01-30T00:00:00.000,9.5,POINT (-75.85363 42.93284),,,,,,Central New York,Central,,,,,,,
,36.95,52526,Non-Tier 1,Land Based Wind,Marsh Hill,2554,,,,,Steuben,Operational,10,14855,NY,52526,16.2,2024-01-30T00:00:00.000,15.39,POINT (-77.507045 42.125255),,,,,2014,Southern Tier,Central,,,,,323713,,
,25,4199,Non-Tier 1,Hydroelectric,Rio,2554,,,,,Sullivan,Completed,10,12737,NY,4199,0.8,2024-01-30T00:00:00.000,0.76,POINT (-74.8164663 41.5177014),,,,,2014,Mid-Hudson,Hudson Valley,,,,,,,
,30,4750,Tier 1,Biogas - ADG,Buffalo BioEnergy,2554,New,Sustainable BioPower LLC,Quasar Energy Group,,Erie,Operational,10,14224,NY,4750,1.24,2024-01-30T00:00:00.000,1.24,POINT (-78.753835 42.835045),,,,,2017,Western New York,West,,,,,N/A,,
,29.95,4216,Non-Tier 1,Fuel Cell,ATT Clean Energy Project - 400 Hamilton A,2554,,,,,Westchester,Cancelled,10,10601,NY,4216,0.5,2024-01-30T00:00:00.000,0.5,POINT (-73.766102 41.0311413),,,,,,Mid-Hudson,Dunwoodie,,,,,,,
,29.95,8432,Non-Tier 1,Fuel Cell,ATT Clean Energy Project - 400 Hamilton B,2554,,,,,Westchester,Cancelled,10,10601,NY,8432,1,2024-01-30T00:00:00.000,1.05,POINT (-73.766102 41.0311413),,,,,,Mid-Hudson,Dunwoodie,,,,,,,
,21.75,229873,Tier 1,Land Based Wind,Arkwright Summit,2985,New,Arkwright Summit Wind Farm LLC,EDP Renewables,,Chautauqua,Operational,20,14063,NY,229873,78.4,2024-01-30T00:00:00.000,75.58,POINT (-79.33261 42.44417),,,,,2020,Western New York,West,,,,,323751,,
,24.5,206272,Tier 1,Land Based Wind,Jericho Rise,2985,New,"Jericho Rise Wind Farm, LLC",EDP Renewables,,Franklin,Operational,20,12920,NY,206272,77.7,2024-01-30T00:00:00.000,73.81,POINT (-74.07652 44.925855),,,,,2019,North Country,North,,,,,323719,,
,14.55,3819,Tier 1,Hydroelectric,Fulton Unit 2,3084,New,Erie Boulevard Hydropower LP,Brookfield Renewable,,Oswego,Operational,20,13069,NY,3819,0.45,2024-01-30T00:00:00.000,0.45,POINT (-76.41174 43.325035),SEQR,,,,2018,Central New York,Central,,583,,,24041,,
,20,6324,Tier 1,Fuel Cell,Morgan Stanley Headquarters,3084,New,"MS Financing, LLC",Morgan Stanley,,New York,Operational,20,10036,NY,6324,0.79,2024-01-30T00:00:00.000,0.75,POINT (-73.98707 40.7586),SEQR,,,,2016,New York City,New York City,,,,,N/A,,
,,269877,Tier 1,Land Based Wind,Ball Hill,3084,New,"Ball Hill Wind Energy, LLC",Northland Power,,Chautauqua,Operational,20,14062,NY,323852,100,2024-01-30T00:00:00.000,100,POINT (-79.173575 42.470185),SEQR,,,,2023,Western New York,West,69.55,505,,,323825,,
,22.5,27409,Tier 1,Hydroelectric,Lyons Falls Mill Hydro,3084,,,,,Lewis,Cancelled,20,13368,NY,27409,5.51,2024-01-30T00:00:00.000,5.23,POINT (-75.3653622 43.6197333),,,,,,North Country,Mohawk Valley,,,,,,,
,25,75686,Tier 1,Biogas - ADG,NYC Biogas,3084,,,,,Richmond,Cancelled,20,10307,NY,75686,9.6,2024-01-30T00:00:00.000,9.12,POINT (-74.24093 40.511325),,,,,,New York City,New York City,,,,,,,
,14.84,1975,Tier 1,Hydroelectric,Belfort Unit 3,3257,Existing,Erie Boulelvard Hydropower LP,Brookfield Renewable,,Lewis,Operational,19,13327,NY,1975,0.36,2024-01-30T00:00:00.000,0.34,POINT (-75.3877596 43.89345),SEQR,,,,2016,North Country,Mohawk Valley,,,Upgrade,,24048,,
,15.08,6968,Tier 1,Hydroelectric,Fulton Unit 1,3257,Existing,Erie Boulevard Hydropower LP,Brookfield Renewable,,Oswego,Operational,20,13069,NY,6968,0.87,2024-01-30T00:00:00.000,0.87,POINT (-76.41174 43.325035),SEQR,,,,2018,Central New York,Central,,583,Upgrade,,24041,,
,15,32166,Tier 1,Hydroelectric,Glen Park,3257,Existing,"Black River Hydroelectric, LLC",Cube Hydro,,Jefferson,Operational,20,13601,NY,32166,7.18,2024-01-30T00:00:00.000,6.82,POINT (-75.9049969 43.9757948),SEQR,,,,2016,North Country,Mohawk Valley,,,Upgrade,,23778,,
,22.5,1959,Tier 1,Hydroelectric,North Division Street Dam Hydroelectric Facility,3257,Existing,City of Auburn,City of Auburn,,Cayuga,Operational,20,13021,NY,1959,0.58,2024-01-30T00:00:00.000,0.55,POINT (-76.56687 42.9355),SEQR,,,,2018,Central New York,Mohawk Valley,,,Upgrade,,5015,,
,6.4,6442,Tier 1,Fuel Cell,Regen DG Project,3257,New,Bloom Energy Corp,Bloom Energy Corp,,Westchester,Operational,20,10591,NY,6442,1.58,2024-01-30T00:00:00.000,1,POINT (-73.8613837 41.0804691),SEQR,,,,2018,Mid-Hudson,Dunwoodie,,,,,N/A,,
,25,4794,Tier 1,Hydroelectric,Swinging Bridge,3257,Existing,"Eagle Creek Hydro Power, LLC",Eagle Creek Hydro Power,,Sullivan,Operational,20,12737,NY,4794,2.18,2024-01-30T00:00:00.000,2.07,POINT (-74.8164663 41.5177014),SEQR,,,,2020,Mid-Hudson,Hudson Valley,,696,Upgrade,,23641,,
,9.5,827,Tier 1,Hydroelectric,Tannery Island - Tannery Island Hydro,3257,Existing,Ampersand Tannery Island Hydro LLC,Ampersand Energy Partners,,Jefferson,Operational,20,13619,NY,827,0.17,2024-01-30T00:00:00.000,0.16,POINT (-75.6114334 43.9800463),SEQR,,,,2016,North Country,Mohawk Valley,,,Upgrade,,23633,,
,,36084,Tier 1,Solar,Coeymans Solar,3257,New,Hecate Energy Albany 1 LLC,Greenbacker Renewable Energy Corporation,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0617,Albany,Under Development,20,12158,NY,43300,20,2024-01-30T00:00:00.000,20,POINT (-73.804098 42.5347655),Article 10,,,,2023,Capital Region,Capital,75.82,570,,,323833,,
,,36084,Tier 1,Solar,Greene County 1,3257,New,Hecate Energy Greene 1 LLC,Greenbacker Renewable Energy Corporation,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0619,Greene,Under Development,20,12051,NY,43300,20,2024-01-30T00:00:00.000,20,POINT (-73.8001552 42.3480669),Article 10,,,,2024,Capital Region,Hudson Valley,88.04,570,,,,,
,,18042,Tier 1,Solar,Greene County 2,3257,New,Hecate Energy Greene 2 LLC,Greenbacker Renewable Energy Corporation,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0619,Greene,Under Development,20,12051,NY,21650,10,2024-01-30T00:00:00.000,10,POINT (-73.8001552 42.3480669),Article 10,,,,2024,Capital Region,Hudson Valley,88.04,570,,,,,
,26.91,85699,Tier 1,Solar,Hecate Energy Greene County 1,3257,New,Hecate Energy New York LLC,Hecate Energy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0617,Greene,Cancelled,20,12051,NY,85699,49.99,2024-01-30T00:00:00.000,47.49,POINT (-73.8001552 42.3480669),Article 10,,,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0619,,Capital Region,Hudson Valley,,570,,,,,
,10,324,Non-Tier 1,Hydroelectric,Burt Dam Incremental Hydro,3257,Existing,,,,Niagara,Operational,19,14028,NY,324,0.09,2024-01-30T00:00:00.000,0.08,POINT (-78.7130158 43.3184626),SEQR,,,,2016,Western New York,West,,,Upgrade,,,,
,,313825,Tier 1,Land Based Wind,Eight Point Wind,3257,New,Eight Point Wind LLC,NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0062,Steuben,Operational,20,14877,NY,376590,111.2,2024-01-30T00:00:00.000,101.2,POINT (-77.6619234 42.0821269),Article 10,,,,2023,Southern Tier,Central,70.8,422,,,323820,,
,,278500,Tier 1,Land Based Wind,Number Three Wind Farm,3257,New,Number Three Wind LLC,Invenergy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0328,Lewis,Operational,20,13367,NY,334200,103.9,2024-01-30T00:00:00.000,105.8,POINT (-75.489145 43.78851),Article 10,,,,2023,North Country,Mohawk Valley,74.96,531,,,323818,,
4550000,,,OREC,Offshore Wind,Empire Wind,ORECRFP18-1,New,,Equinor Wind US LLC,,,Under Development,25,,,,816,2024-01-30T00:00:00.000,816,,Article 7,,,,2026,,,,,,,,https://www.permits.performance.gov/permitting-project/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=65825&MNO=21-T-0366
4419800,,,OREC,Offshore Wind,Sunrise Wind,ORECRFP18-1,New,,Orsted A/S and Eversource Energy,,,Under Development,25,,,,924,2024-01-30T00:00:00.000,924,,Article 7,,,,2025,,,,,,,,https://www.permits.performance.gov/permitting-project/sunrise-wind-farm,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?Mattercaseno=20-T-0617
